loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
155000,44,,68.182,50%-60%,225000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,88,,65.99,>60%,355000,300,65-74,White,Male,Not Hispanic or Latino,3,0
15000,73,,103.333,50%-60%,155000,360,55-64,White,Male,Not Hispanic or Latino,3,0
255000,289,,79.6,30%-<36%,575000,240,45-54,White,Joint,Not Hispanic or Latino,3,0
45000,71,,63.446,50%-60%,315000,240,65-74,Black or African American,Female,Not Hispanic or Latino,3,0
75000,98,,76.703,50%-60%,395000,240,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
255000,287,,91.883,20%-<30%,655000,480,35-44,Black or African American,Joint,Joint,3,0
185000,76,,61.667,>60%,305000,180,55-64,Race Not Available,Female,Not Hispanic or Latino,3,0
345000,153,,,38,395000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
25000,21,,117.568,>60%,75000,360,45-54,White,Female,Not Hispanic or Latino,3,0
205000,55,,23.529,>60%,855000,360,35-44,White,Male,Not Hispanic or Latino,3,0
85000,142,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,Black or African American,Joint,Hispanic or Latino,3,0
35000,79,,84.799,20%-<30%,225000,96,>74,White,Joint,Not Hispanic or Latino,3,0
25000,64,,36.729,20%-<30%,325000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
265000,156,,96.5,44,275000,360,45-54,White,Male,Not Hispanic or Latino,3,0
45000,71,,,>60%,,120,65-74,White,Joint,Not Hispanic or Latino,3,0
35000,42,,66.251,45,275000,180,65-74,White,Female,Not Hispanic or Latino,3,0
45000,155,,83.74,41,585000,360,25-34,Asian,Male,Not Hispanic or Latino,3,0
65000,75,,61.02,44,315000,360,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
75000,138,,73.587,38,235000,120,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,57,,41.67,46,245000,360,65-74,Race Not Available,Joint,Hispanic or Latino,3,0
15000,17,,84.317,50%-60%,15000,72,45-54,White,Female,Not Hispanic or Latino,3,0
115000,54,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Joint,Not Hispanic or Latino,3,0
65000,203,,36.429,<20%,705000,120,45-54,White,Joint,Not Hispanic or Latino,3,0
55000,108,,56.905,>60%,895000,240,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
415000,18,,97,>60%,425000,360,45-54,White,Male,Not Hispanic or Latino,3,0
25000,41,,77.581,>60%,315000,180,45-54,White,Male,Not Hispanic or Latino,3,0
385000,25,,,,1045000,,55-64,Race Not Available,Male,Ethnicity Not Available,3,0
35000,170,,95.251,20%-<30%,545000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
25000,53,Exempt,Exempt,Exempt,Exempt,Exempt,>74,White,Male,Not Hispanic or Latino,3,0
205000,134,,38.923,20%-<30%,655000,360,35-44,Asian,Female,Not Hispanic or Latino,3,0
555000,76,,94.79,>60%,575000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
35000,114,,16.283,44,455000,360,65-74,White,Joint,Not Hispanic or Latino,3,0
125000,97,,66.064,>60%,825000,360,25-34,White,Joint,Not Hispanic or Latino,3,0
125000,35,,90,>60%,135000,360,65-74,White,Male,Not Hispanic or Latino,3,0
35000,43,,54.792,50%-60%,275000,360,35-44,White,Male,Not Hispanic or Latino,3,0
15000,38,,48.051,40,35000,300,35-44,White,Female,Not Hispanic or Latino,3,0
25000,53,,46.003,43,325000,180,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
235000,63,,,50%-60%,295000,360,35-44,Black or African American,Female,Not Hispanic or Latino,3,0
205000,228,,62.5,<20%,325000,240,65-74,White,Joint,Not Hispanic or Latino,3,0
205000,211,,41.337,>60%,1005000,30,55-64,Black or African American,Joint,Not Hispanic or Latino,3,0
85000,20,,30,30%-<36%,295000,360,65-74,White,Female,Hispanic or Latino,3,0
145000,72,,75,37,195000,360,>74,Race Not Available,Male,Ethnicity Not Available,3,0
