loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
105000,60,8.95,24.57,41,405000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
65000,277,8.7,80,30%-<36%,615000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
105000,166,5.99,77.18,20%-<30%,375000,300,25-34,White,Joint,Not Hispanic or Latino,1,1
225000,81,6.625,101.5,43,235000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
65000,28,6.5,96.48,50%-60%,65000,360,55-64,White,Female,Not Hispanic or Latino,1,1
455000,123,6.875,67.669,38,665000,360,55-64,White,Male,Not Hispanic or Latino,1,1
785000,336,8.125,80,30%-<36%,985000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
375000,93,6.25,96.5,50%-60%,385000,360,45-54,White,Female,Not Hispanic or Latino,1,1
185000,86,6.625,63.918,20%-<30%,295000,360,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
45000,50,9.75,89.93,30%-<36%,135000,360,35-44,White,Female,Not Hispanic or Latino,1,1
55000,57,8.75,12.34,50%-60%,2215000,360,>74,White,Female,Not Hispanic or Latino,1,1
105000,264,8.59,83.91,20%-<30%,215000,300,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
525000,576,7.375,60,20%-<30%,875000,360,45-54,Asian,Male,Not Hispanic or Latino,1,1
25000,58,7,59.5807,49,185000,240,35-44,White,Male,Not Hispanic or Latino,1,1
705000,441,5.25,80,30%-<36%,875000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
315000,120,6.875,75.904,20%-<30%,415000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
355000,102,6.875,95,45,375000,360,25-34,White,Joint,Hispanic or Latino,1,1
45000,32,7.25,46.971,43,285000,240,35-44,White,Male,Not Hispanic or Latino,1,1
235000,87,6.5,96.5,30%-<36%,235000,360,25-34,White,Joint,Hispanic or Latino,1,1
35000,225,5.875,56.8,20%-<30%,375000,60,35-44,White,Male,Not Hispanic or Latino,1,1
265000,122,7,60,30%-<36%,445000,360,25-34,Asian,Female,Not Hispanic or Latino,1,1
315000,88,7.5,75,45,425000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
265000,57,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Male,Not Hispanic or Latino,1,1
255000,69,5.99,45.455,39,555000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
35000,99,10.2,65.987,48,605000,360,45-54,White,Female,Hispanic or Latino,1,1
235000,96,7.25,101.75,20%-<30%,225000,360,35-44,Black or African American,Female,Not Hispanic or Latino,1,1
55000,53,10.74,66.799,41,325000,360,45-54,White,Female,Not Hispanic or Latino,1,1
165000,221,6.5,70,30%-<36%,235000,360,55-64,White,Male,Not Hispanic or Latino,1,1
285000,78,5.875,95,44,305000,360,45-54,White,Female,Hispanic or Latino,1,1
205000,78,7.25,90,49,235000,360,25-34,White,Joint,Hispanic or Latino,1,1
385000,149,7.5,95,30%-<36%,405000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
365000,117,6.99,95,43,385000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
345000,474,8.75,,,,360,35-44,White,Male,Ethnicity Not Available,1,1
345000,268,8.5,80,20%-<30%,435000,360,55-64,White,Male,Hispanic or Latino,1,1
165000,128,7.375,88.889,30%-<36%,185000,360,55-64,White,Male,Not Hispanic or Latino,1,1
65000,29,6.75,80,20%-<30%,85000,307,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
35000,114,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Male,Not Hispanic or Latino,1,1
125000,154,7.375,85,<20%,145000,360,25-34,White,Male,Not Hispanic or Latino,1,1
285000,93,6.5,27.723,41,1015000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
35000,80,7.24,79.97,20%-<30%,225000,360,25-34,White,Female,Hispanic or Latino,1,1
175000,44,5.5,61.818,>60%,275000,180,65-74,Black or African American,Male,Not Hispanic or Latino,1,1
1125000,273,6,80,36,1415000,360,35-44,White,Male,Not Hispanic or Latino,1,1
75000,103,9.25,71.443,41,345000,480,35-44,Black or African American,Female,Not Hispanic or Latino,1,1
1105000,428,5.375,70.56,20%-<30%,,360,55-64,Asian,Joint,Not Hispanic or Latino,1,1
165000,114,6.875,24.252,20%-<30%,655000,360,55-64,White,Male,Not Hispanic or Latino,1,1
115000,111,10.25,63.57,44,625000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
85000,,8.55,51.61,,155000,180,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
455000,188,6.5,95,37,475000,360,45-54,White,Female,Not Hispanic or Latino,1,1
55000,102,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Male,Not Hispanic or Latino,1,1
85000,75,6.875,48.246,20%-<30%,175000,240,55-64,White,Female,Not Hispanic or Latino,1,1
585000,306,7.5,97,43,605000,360,25-34,White,Female,Not Hispanic or Latino,1,1
335000,144,6.75,96.5,36,345000,360,25-34,White,Male,Not Hispanic or Latino,1,1
155000,39,7.625,,43,165000,360,25-34,White,Male,Not Hispanic or Latino,1,1
425000,114,7.125,85.859,40,495000,360,35-44,White,Female,Not Hispanic or Latino,1,1
755000,,5.875,45.455,38,1655000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
2505000,1167,5.775,30.12,39,8305000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
215000,83,7.375,80,48,265000,360,25-34,Joint,Joint,Not Hispanic or Latino,1,1
105000,281,10,73.871,30%-<36%,1055000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
75000,85,5.99,80,20%-<30%,95000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
25000,74,7.24,74.14,42,355000,360,35-44,White,Female,Not Hispanic or Latino,1,1
535000,125,6.75,96.5,50%-60%,545000,360,45-54,Asian,Male,Not Hispanic or Latino,1,1
805000,284,6.99,45.56,42,2825000,360,45-54,White,Female,Not Hispanic or Latino,1,1
205000,83,7.125,101,44,225000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
75000,129,7.49,73.79,50%-60%,675000,180,25-34,Race Not Available,Male,Ethnicity Not Available,1,1
55000,198,8.45,69.28,30%-<36%,775000,120,35-44,Race Not Available,Sex Not Available,Hispanic or Latino,1,1
35000,,10.25,89.98,43,315000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
305000,240,7.375,95,20%-<30%,325000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
35000,85,11.25,84.98,38,305000,480,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
645000,289,6.125,79.503,49,805000,360,55-64,White,Male,Not Hispanic or Latino,1,1
125000,86,8.2,54.154,50%-60%,535000,360,45-54,White,Joint,Joint,1,1
105000,133,8.65,47.064,50%-60%,825000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
85000,100,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Male,Hispanic or Latino,1,1
15000,64,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Female,Not Hispanic or Latino,1,1
225000,215,7.99,60,39,375000,360,45-54,Black or African American,Joint,Not Hispanic or Latino,1,1
305000,100,7.75,80,42,375000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
295000,156,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,Black or African American,Joint,Not Hispanic or Latino,1,1
435000,137,7.375,90,30%-<36%,485000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
95000,52,6.625,46.02,30%-<36%,205000,360,45-54,White,Female,Hispanic or Latino,1,1
835000,227,4,80,<20%,1045000,360,35-44,Joint,Joint,Not Hispanic or Latino,1,1
75000,144,7,22.951,<20%,305000,360,25-34,Asian,Female,Not Hispanic or Latino,1,1
115000,54,7.5,95,20%-<30%,125000,360,25-34,White,Male,Not Hispanic or Latino,1,1
45000,198,9.25,59.162,44,655000,300,35-44,White,Joint,Not Hispanic or Latino,1,1
85000,77,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,Race Not Available,Joint,Ethnicity Not Available,1,1
105000,350,9.3,54.507,30%-<36%,1115000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
205000,201,4.875,80,20%-<30%,265000,360,25-34,2 or more minority races,Joint,Joint,1,1
215000,102,7.5,101.01,20%-<30%,215000,360,<25,White,Joint,Not Hispanic or Latino,1,1
545000,203,7.825,75,30%-<36%,725000,360,35-44,Asian,Female,Not Hispanic or Latino,1,1
205000,66,6.563,78.74,49,255000,313,65-74,Race Not Available,Female,Ethnicity Not Available,1,1
535000,236,7.375,77,30%-<36%,705000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
415000,99,5.75,80,50%-60%,515000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
365000,147,6.2,83.849,41,435000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
405000,105,6.5,90,48,445000,360,35-44,White,Male,Hispanic or Latino,1,1
235000,51,5.875,71.647,49,335000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
265000,63,6.95,90,45,295000,360,25-34,White,Male,Not Hispanic or Latino,1,1
185000,63,6.125,92,20%-<30%,205000,360,25-34,White,Female,Hispanic or Latino,1,1
185000,69,6.375,80,42,225000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
35000,102,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Joint,Not Hispanic or Latino,1,1
25000,75,4.99,39.061,42,455000,300,55-64,White,Male,Not Hispanic or Latino,1,1
1435000,501,Exempt,Exempt,Exempt,Exempt,Exempt,<25,Asian,Joint,Not Hispanic or Latino,1,1
1245000,436,6.5,90,45,1555000,360,45-54,Race Not Available,Joint,Ethnicity Not Available,1,1
195000,95,7.125,80,45,245000,360,<25,Race Not Available,Male,Not Hispanic or Latino,1,1
205000,85,6.5,66.667,43,305000,360,65-74,White,Female,Not Hispanic or Latino,1,1
145000,294,6.49,84.99,30%-<36%,785000,360,45-54,White,Female,Not Hispanic or Latino,1,1
135000,49,5.5,97,45,145000,360,35-44,White,Male,Not Hispanic or Latino,1,1
365000,148,6.875,85,42,435000,360,25-34,White,Male,Not Hispanic or Latino,1,1
195000,100,7.325,95,40,205000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
185000,60,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Not Hispanic or Latino,1,1
615000,169,6.25,90,30%-<36%,685000,360,25-34,White,Joint,Joint,1,1
45000,90,7.49,82.82,20%-<30%,235000,360,45-54,Race Not Available,Male,Hispanic or Latino,1,1
35000,84,8.5,56.34,20%-<30%,145000,300,45-54,White,Male,Not Hispanic or Latino,1,1
445000,174,6.5,95,20%-<30%,475000,360,35-44,Joint,Joint,Not Hispanic or Latino,1,1
175000,,6.8433,0.75,,225000,360,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
355000,374,8.8,64.302,39,825000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
565000,123,5.325,80,49,705000,360,45-54,Asian,Male,Not Hispanic or Latino,1,1
105000,151,5.99,68.08,30%-<36%,405000,300,35-44,White,Female,Not Hispanic or Latino,1,1
195000,98,6.25,63.738,20%-<30%,315000,360,35-44,White,Female,Not Hispanic or Latino,1,1
235000,130,7.375,95,20%-<30%,255000,360,25-34,White,Male,Not Hispanic or Latino,1,1
105000,99,7.05,,38,355000,180,55-64,White,Male,Not Hispanic or Latino,1,1
75000,249,4.5,23.664,<20%,325000,360,65-74,Race Not Available,Joint,Ethnicity Not Available,1,1
55000,240,7,56.039,<20%,675000,120,35-44,White,Joint,Not Hispanic or Latino,1,1
165000,368,9,57.37,30%-<36%,1175000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
385000,141,6.375,100,30%-<36%,385000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
275000,,8.75,83.85,,325000,252,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
645000,461,5.625,80,30%-<36%,805000,180,45-54,White,Male,Not Hispanic or Latino,1,1
445000,147,6.25,72.131,30%-<36%,615000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
65000,106,4.49,79.892,20%-<30%,275000,300,35-44,White,Joint,Not Hispanic or Latino,1,1
525000,135,6.625,90,50%-60%,575000,372,25-34,White,Female,Hispanic or Latino,1,1
75000,140,10.2,65.533,40,365000,360,45-54,White,Female,Not Hispanic or Latino,1,1
25000,92,10.5,83.793,30%-<36%,285000,480,25-34,White,Joint,Not Hispanic or Latino,1,1
275000,97,6,80,20%-<30%,345000,360,25-34,White,Male,Not Hispanic or Latino,1,1
245000,101,6.25,96.5,20%-<30%,245000,360,25-34,White,Male,Not Hispanic or Latino,1,1
315000,233,4.99,69.98,30%-<36%,695000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
45000,108,9.25,60.261,20%-<30%,405000,300,25-34,White,Joint,Not Hispanic or Latino,1,1
125000,,10.5,,,,,45-54,White,Male,Hispanic or Latino,1,1
385000,130,5.63,64.669,50%-60%,605000,360,55-64,Black or African American,Male,Not Hispanic or Latino,1,1
765000,168,6.25,90,46,855000,360,25-34,Black or African American,Joint,Not Hispanic or Latino,1,1
905000,415,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Joint,Not Hispanic or Latino,1,1
35000,108,11.15,82.67,30%-<36%,235000,84,25-34,Joint,Joint,Not Hispanic or Latino,1,1
85000,58,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Male,Hispanic or Latino,1,1
255000,55,6.125,95,46,265000,360,25-34,Black or African American,Female,Not Hispanic or Latino,1,1
185000,105,5.875,64.912,20%-<30%,285000,360,55-64,Joint,Joint,Not Hispanic or Latino,1,1
445000,190,6.625,69.226,45,645000,360,65-74,Joint,Joint,Not Hispanic or Latino,1,1
375000,146,7.125,90,20%-<30%,415000,360,25-34,Asian,Joint,Not Hispanic or Latino,1,1
45000,88,7.25,40.445,39,575000,180,>74,White,Male,Not Hispanic or Latino,1,1
265000,111,5.625,100,41,265000,360,35-44,White,Male,Not Hispanic or Latino,1,1
185000,43,6,97,47,185000,360,45-54,White,Female,Not Hispanic or Latino,1,1
85000,100,1.99,44.913,<20%,515000,180,55-64,White,Male,Not Hispanic or Latino,1,1
105000,132,8.95,73.661,30%-<36%,615000,360,45-54,White,Male,Not Hispanic or Latino,1,1
205000,97,6.99,43.48,49,465000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
275000,79,7.375,102.45,46,285000,360,<25,White,Joint,Not Hispanic or Latino,1,1
155000,491,7.75,51.613,20%-<30%,1555000,240,55-64,White,Male,Not Hispanic or Latino,1,1
55000,128,8.45,67.132,46,325000,60,55-64,White,Female,Not Hispanic or Latino,1,1
135000,60,Exempt,Exempt,Exempt,Exempt,Exempt,<25,White,Male,Hispanic or Latino,1,1
475000,247,7.875,95,20%-<30%,495000,360,55-64,Asian,Male,Ethnicity Not Available,1,1
155000,64,6.625,97,42,155000,360,<25,White,Male,Not Hispanic or Latino,1,1
95000,144,7.75,65.342,20%-<30%,495000,480,35-44,White,Male,Not Hispanic or Latino,1,1
25000,179,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Joint,Not Hispanic or Latino,1,1
505000,232,6.99,75,30%-<36%,675000,360,25-34,Race Not Available,Female,Ethnicity Not Available,1,1
235000,171,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Joint,Not Hispanic or Latino,1,1
45000,64,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Male,Not Hispanic or Latino,1,1
55000,259,7.49,70.85,20%-<30%,725000,360,45-54,White,Joint,Joint,1,1
155000,49,6.375,100,36,165000,360,25-34,Race Not Available,Female,Not Hispanic or Latino,1,1
45000,,8.5,80,,65000,12,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
235000,204,8.25,89.99,30%-<36%,685000,360,35-44,White,Male,Not Hispanic or Latino,1,1
135000,60,5.88,100,20%-<30%,135000,288,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
155000,123,6.9,46.154,43,325000,180,45-54,White,Joint,Not Hispanic or Latino,1,1
305000,96,7.75,96.5,43,315000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
215000,184,7.5,95,30%-<36%,225000,360,<25,White,Joint,Not Hispanic or Latino,1,1
135000,83,6.875,82.071,30%-<36%,125000,360,<25,Race Not Available,Male,Hispanic or Latino,1,1
25000,124,8.2,57.542,<20%,465000,120,45-54,White,Male,Not Hispanic or Latino,1,1
185000,74,6.59,100.186,47,185000,360,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
25000,167,8.25,30.224,<20%,705000,,55-64,Asian,Joint,Not Hispanic or Latino,1,1
355000,,6.25,75,,475000,360,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
425000,,6.65,49.79,,855000,24,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
115000,47,8.25,29.813,50%-60%,365000,192,25-34,White,Female,Not Hispanic or Latino,1,1
315000,,6.75,79.99,42,385000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
25000,89,9.45,71.668,43,385000,48,25-34,Race Not Available,Sex Not Available,Hispanic or Latino,1,1
85000,104,8.95,80,44,235000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
205000,73,6.375,100.96,30%-<36%,205000,360,35-44,White,Female,Not Hispanic or Latino,1,1
2005000,576,8.875,62.696,47,3195000,480,35-44,White,Male,Not Hispanic or Latino,1,1
115000,50,6.375,96.5,41,125000,360,25-34,American Indian or Alaska Native,Female,Not Hispanic or Latino,1,1
105000,95,8.45,62.029,41,465000,360,35-44,White,Female,Not Hispanic or Latino,1,1
255000,,7.5,101.75,48,245000,360,<25,White,Joint,Not Hispanic or Latino,1,1
195000,58,6.5,97,47,205000,360,25-34,White,Male,Not Hispanic or Latino,1,1
5000,69,10.25,2.857,38,105000,240,55-64,White,Female,Not Hispanic or Latino,1,1
395000,103,7,96.5,45,405000,360,25-34,Race Not Available,Male,Ethnicity Not Available,1,1
75000,53,8.25,19.844,20%-<30%,375000,240,65-74,White,Female,Not Hispanic or Latino,1,1
35000,45,9,11.28,<20%,265000,120,>74,White,Joint,Not Hispanic or Latino,1,1
45000,110,7.65,58.1,30%-<36%,475000,240,55-64,White,Joint,Not Hispanic or Latino,1,1
205000,320,8.625,83.025,30%-<36%,645000,180,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
245000,312,6.375,100,<20%,245000,360,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
175000,97,7.25,95,40,185000,360,55-64,Black or African American,Male,Not Hispanic or Latino,1,1
305000,165,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Not Hispanic or Latino,1,1
505000,128,8.5,94.978,43,535000,360,35-44,Black or African American,Joint,Not Hispanic or Latino,1,1
385000,104,6.125,93,50%-60%,425000,360,55-64,White,Female,Not Hispanic or Latino,1,1
55000,74,8.75,66.407,30%-<36%,305000,120,45-54,White,Female,Not Hispanic or Latino,1,1
165000,159,6.74,82.73,45,645000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
105000,107,9.9,54.53,49,455000,360,55-64,White,Male,Not Hispanic or Latino,1,1
55000,36,9.5,35.16,39,155000,300,35-44,Race Not Available,Male,Ethnicity Not Available,1,1
315000,,6.25,,,425000,300,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
35000,167,7.5,69.99,<20%,185000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
135000,54,7,75,20%-<30%,185000,180,25-34,Race Not Available,Female,Ethnicity Not Available,1,1
185000,65,5.75,80,44,225000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
75000,172,9.99,89.98,20%-<30%,485000,300,35-44,Asian,Male,Not Hispanic or Latino,1,1
125000,,7.5,80,43,155000,360,45-54,White,Male,Not Hispanic or Latino,1,1
55000,116,10.49,79.636,41,315000,360,25-34,White,Female,Not Hispanic or Latino,1,1
225000,111,8.125,95,30%-<36%,235000,360,35-44,White,Female,Not Hispanic or Latino,1,1
15000,47,8,10.08,<20%,155000,84,55-64,Black or African American,Female,Not Hispanic or Latino,1,1
665000,311,6.625,100,41,665000,360,35-44,Joint,Joint,Not Hispanic or Latino,1,1
415000,124,5.875,80,30%-<36%,525000,360,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
265000,84,5.75,100,41,255000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
615000,226,6,80,48,755000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
315000,90,7,101.325,48,325000,360,35-44,White,Male,Hispanic or Latino,1,1
245000,68,5.75,97,45,255000,360,25-34,White,Male,Not Hispanic or Latino,1,1
65000,160,5.375,20,<20%,305000,180,45-54,Race Not Available,Female,Ethnicity Not Available,1,1
215000,82,7.375,95,30%-<36%,225000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
75000,126,7.65,57.954,36,645000,240,45-54,Race Not Available,Male,Joint,1,1
45000,69,6.75,70,20%-<30%,265000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
85000,58,8.125,57.184,47,145000,360,55-64,White,Female,Hispanic or Latino,1,1
225000,86,6.375,94.737,37,235000,360,<25,White,Joint,Not Hispanic or Latino,1,1
1025000,583,5.44,85,30%-<36%,1205000,180,35-44,White,Joint,Not Hispanic or Latino,1,1
125000,53,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Male,Not Hispanic or Latino,1,1
405000,294,5.99,37.4809749,39,2745000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
205000,220,5.49,48.15,50%-60%,915000,60,45-54,Asian,Male,Not Hispanic or Latino,1,1
95000,98,11,70,20%-<30%,585000,480,45-54,Race Not Available,Female,Ethnicity Not Available,1,1
315000,70,6.25,78.749,47,395000,360,<25,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
365000,106,6.375,83.908,30%-<36%,435000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
415000,130,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Not Hispanic or Latino,1,1
355000,93,6.875,90,48,395000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
165000,54,5.25,80,38,205000,360,55-64,White,Male,Not Hispanic or Latino,1,1
295000,238,6,79.781,20%-<30%,605000,120,35-44,White,Joint,Not Hispanic or Latino,1,1
105000,156,6.49,36.56,49,375000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
35000,48,8.25,41.599,41,545000,360,45-54,White,Female,Not Hispanic or Latino,1,1
555000,260,7.125,40.146,20%-<30%,1375000,360,55-64,White,Female,Not Hispanic or Latino,1,1
85000,222,7.8,63.527,46,1365000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
955000,220,7.375,95,48,1015000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
745000,383,8.75,77.895,20%-<30%,955000,120,55-64,White,Male,Not Hispanic or Latino,1,1
295000,85,6.875,100.43,50%-60%,305000,360,45-54,White,Female,Not Hispanic or Latino,1,1
25000,86,9.25,67.243,20%-<30%,395000,480,55-64,White,Male,Not Hispanic or Latino,1,1
295000,210,7.625,67.033,40,435000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
235000,58,6.74,40.58,50%-60%,585000,360,65-74,White,Female,Not Hispanic or Latino,1,1
55000,90,10.06,68.813,50%-60%,375000,240,25-34,White,Joint,Joint,1,1
15000,82,1,102,43,305000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
35000,127,9.3,77.451,20%-<30%,325000,180,25-34,White,Female,Not Hispanic or Latino,1,1
325000,146,7.325,95,30%-<36%,345000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
55000,66,8,45.981,20%-<30%,285000,120,45-54,White,Female,Not Hispanic or Latino,1,1
55000,92,10.49,29.221,42,1025000,360,45-54,White,Female,Not Hispanic or Latino,1,1
25000,157,7.5,58.56,30%-<36%,415000,300,45-54,White,Joint,Not Hispanic or Latino,1,1
55000,137,8.75,70.09,43,365000,300,35-44,White,Joint,Not Hispanic or Latino,1,1
395000,95,5.75,100,40,385000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
565000,185,7.45,95,39,595000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
495000,1035,5.75,65,20%-<30%,495000,360,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
285000,55,7,95,49,305000,360,35-44,White,Joint,Hispanic or Latino,1,1
275000,63,6.75,64.539,43,425000,360,35-44,White,Male,Not Hispanic or Latino,1,1
445000,153,5.875,80,39,555000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
215000,153,8.125,80,44,265000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
55000,105,7.24,43.87,41,945000,360,45-54,Asian,Female,Ethnicity Not Available,1,1
105000,200,3.99,19.096,50%-60%,3805000,240,55-64,White,Male,Ethnicity Not Available,1,1
445000,117,6.5,80,30%-<36%,555000,360,25-34,White,Male,Not Hispanic or Latino,1,1
445000,165,5.5,89,20%-<30%,505000,360,25-34,Race Not Available,Male,Ethnicity Not Available,1,1
235000,75,7.25,100,45,255000,360,25-34,White,Male,Hispanic or Latino,1,1
365000,344,6.125,80,<20%,455000,360,>74,White,Male,Not Hispanic or Latino,1,1
195000,215,6.49,47.44,50%-60%,1235000,360,55-64,White,Male,Not Hispanic or Latino,1,1
315000,117,7.25,98.5,30%-<36%,325000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
55000,137,8.5,84.695,40,495000,240,35-44,White,Joint,Not Hispanic or Latino,1,1
85000,37,6.99,82.714,20%-<30%,95000,360,<25,White,Male,Not Hispanic or Latino,1,1
55000,63,8.55,46.101,49,605000,360,35-44,White,Male,Hispanic or Latino,1,1
175000,71,6.75,80,47,215000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
165000,76,6.875,84.999,20%-<30%,195000,360,35-44,White,Male,Not Hispanic or Latino,1,1
85000,105,7.49,69.17,47,735000,360,35-44,White,Female,Not Hispanic or Latino,1,1
415000,116,5.75,100,30%-<36%,405000,360,25-34,White,Male,Not Hispanic or Latino,1,1
575000,249,7.5,80,38,725000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
265000,88,5.75,100,39,265000,360,25-34,White,Male,Not Hispanic or Latino,1,1
215000,252,8.625,85,44,255000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
225000,78,7.99,95,42,235000,360,25-34,White,Male,Not Hispanic or Latino,1,1
105000,44,7.49,22.22,45,455000,300,65-74,White,Female,Not Hispanic or Latino,1,1
375000,145,6.875,95,46,395000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
305000,270,5.75,47.136,44,1415000,300,55-64,Asian,Male,Not Hispanic or Latino,1,1
855000,677,6.54,,<20%,1235000,84,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
105000,145,8.64,27.18,30%-<36%,365000,300,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
265000,104,6.75,100,49,265000,360,25-34,White,Male,Not Hispanic or Latino,1,1
405000,158,8.65,18.18,49,2205000,360,>74,Asian,Joint,Not Hispanic or Latino,1,1
305000,60,5.375,60.48,48,495000,369,25-34,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
185000,46,5.75,96.5,44,185000,360,45-54,White,Male,Not Hispanic or Latino,1,1
135000,103,6.75,57.391,20%-<30%,235000,180,55-64,White,Male,Not Hispanic or Latino,1,1
165000,79,5.75,63.95,47,265000,360,35-44,White,Female,Not Hispanic or Latino,1,1
225000,,10.99,60.88,,125000,12,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
105000,160,5.99,73.58,43,395000,300,35-44,White,Female,Not Hispanic or Latino,1,1
